MATCHWEEK,HTEAM,ATEAM,HGK,HDEF1,HDEF2,HDEF3,HDEF4,HDEF5,HMID1,HMID2,HMID3,HMID4,HMID5,HMID6,HFOR1,HFOR2,HFOR3,HFOR4,HFOR5,AGK,ADEF1,ADEF2,ADEF3,ADEF4,ADEF5,AMID1,AMID2,AMID3,AMID4,AMID5,AMID6,AFOR1,AFOR2,AFOR3,AFOR4,AFOR5,HFULLGOAL,AFULLGOAL,FULLRESULT
36,FLAMENGO,CEARA,FLA_diegoalves,FLA_matheuzinho,FLA_gustavohenrique,FLA_leopereira,FLA_ramon,FLA_none,FLA_thiagomaia,FLA_andreaspereira,FLA_diego,FLA_none,FLA_none,FLA_none,FLA_evertonribeiro,FLA_gabriel,FLA_brunohenrique,FLA_none,FLA_none,CEA_joaoricardo,CEA_igor,CEA_messias,CEA_luizotavio,CEA_brunopacheco,CEA_none,CEA_fernandosobral,CEA_fabinho,CEA_kelvyn,CEA_lima,CEA_mendoza,CEA_none,CEA_yonygonzalez,CEA_none,CEA_none,CEA_none,CEA_none,2,1,H
36,BAHIA,GREMIO,BAH_danilofernandes,BAH_ninoparaiba,BAH_conti,BAH_gustavohenrique,BAH_matheusbahia,BAH_none,BAH_patrickdelucca,BAH_lucasmugni,BAH_rodriguinho,BAH_none,BAH_none,BAH_none,BAH_rossi,BAH_gilberto,BAH_rainascimento,BAH_none,BAH_none,GRE_gabrielchapeco,GRE_vanderson,GRE_pedrogeromel,GRE_kannemann,GRE_brunocortez,GRE_none,GRE_thiagosantos,GRE_victorbobsin,GRE_villasanti,GRE_none,GRE_none,GRE_none,GRE_alisson,GRE_borja,GRE_ferreira,GRE_none,GRE_none,3,1,H
36,ATLETICO-MG,FLUMINENSE,CAM_everson,CAM_mariano,CAM_nathansilva,CAM_junioralonso,CAM_guilhermearana,CAM_none,CAM_allan,CAM_jair,CAM_zaracho,CAM_keno,CAM_none,CAM_none,CAM_hulk,CAM_diegocosta,CAM_none,CAM_none,CAM_none,FLU_marcosfelipe,FLU_samuelxavier,FLU_manoel,FLU_davidbraz,FLU_marlon,FLU_none,FLU_wellington,FLU_andre,FLU_yagofelipe,FLU_none,FLU_none,FLU_none,FLU_luizhenrique,FLU_fred,FLU_caiopaulista,FLU_none,FLU_none,2,1,H
36,CORINTHIANS,ATHLETICO-PR,COR_cassio,COR_fagner,COR_joaovictor,COR_gil,COR_fabiosantos,COR_none,COR_gabriel,COR_duqueiroz,COR_gabrielpereira,COR_renatoaugusto,COR_none,COR_none,COR_rogerguedes,COR_jô,COR_none,COR_none,COR_none,CAP_santos,CAP_thiagoheleno,CAP_pedrohenrique,CAP_nicolashernandez,CAP_none,CAP_none,CAP_marcinho,CAP_erick,CAP_leocittadini,CAP_nikao,CAP_christian,CAP_abnervinicius,CAP_pedrorocha,CAP_none,CAP_none,CAP_none,CAP_none,1,0,H
36,BRAGANTINO,AMERICA-MG,BGT_cleiton,BGT_aderlan,BGT_fabriciobruno,BGT_leoortiz,BGT_luancândido,BGT_none,BGT_jadsomsilva,BGT_praxedes,BGT_cuello,BGT_none,BGT_none,BGT_none,BGT_artur,BGT_ytalo,BGT_helinho,BGT_none,BGT_none,AME_matheuscavichioli,AME_patric,AME_eduardobauermann,AME_ricardosilva,AME_marlon,AME_none,AME_lucaskal,AME_ale,AME_juninho,AME_none,AME_none,AME_none,AME_ademir,AME_zarate,AME_felipeazevedo,AME_none,AME_none,1,1,D
36,INTERNACIONAL,SANTOS,INT_marcelolomba,INT_saravia,INT_brunomendez,INT_victorcuesta,INT_moises,INT_none,INT_johnny,INT_palacios,INT_edenilson,INT_taison,INT_patrick,INT_none,INT_yurialberto,INT_none,INT_none,INT_none,INT_none,SAN_joaopaulo,SAN_kaiky,SAN_luizfelipe,SAN_daniloboza,SAN_none,SAN_none,SAN_madson,SAN_viniciuszanocelo,SAN_felipejonatan,SAN_lucasbraga,SAN_gabrielpirani,SAN_ângelo,SAN_marcosleonardo,SAN_none,SAN_none,SAN_none,SAN_none,1,1,D
37,CORINTHIANS,GREMIO,COR_cassio,COR_duqueiroz,COR_joaovictor,COR_gil,COR_fabiosantos,COR_none,COR_xavier,COR_giuliano,COR_renatoaugusto,COR_willian,COR_rogerguedes,COR_none,COR_jô,COR_none,COR_none,COR_none,COR_none,GRE_gabrielchapeco,GRE_rafinha,GRE_pedrogeromel,GRE_kannemann,GRE_diogobarbosa,GRE_none,GRE_thiagosantos,GRE_lucassilva,GRE_jhonatarobert,GRE_none,GRE_none,GRE_none,GRE_campaz,GRE_ferreira,GRE_diegosouza,GRE_none,GRE_none,1,1,D
37,ATLETICO-MG,BRAGANTINO,CAM_everson,CAM_mariano,CAM_nathansilva,CAM_junioralonso,CAM_guilhermearana,CAM_none,CAM_jair,CAM_tchetche,CAM_zaracho,CAM_nathan,CAM_none,CAM_none,CAM_keno,CAM_diegocosta,CAM_none,CAM_none,CAM_none,BGT_cleiton,BGT_aderlan,BGT_fabriciobruno,BGT_natan,BGT_luancândido,BGT_none,BGT_jadsomsilva,BGT_emilianomartinez,BGT_cuello,BGT_none,BGT_none,BGT_none,BGT_artur,BGT_helinho,BGT_ytalo,BGT_none,BGT_none,4,3,H
37,BAHIA,FLUMINENSE,BAH_danilofernandes,BAH_ninoparaiba,BAH_conti,BAH_luizotavio,BAH_matheusbahia,BAH_none,BAH_patrickdelucca,BAH_edson,BAH_rossi,BAH_rodriguinho,BAH_rainascimento,BAH_none,BAH_gilberto,BAH_none,BAH_none,BAH_none,BAH_none,FLU_marcosfelipe,FLU_samuelxavier,FLU_manoel,FLU_luccasclaro,FLU_danilobarcelos,FLU_none,FLU_wellington,FLU_yagofelipe,FLU_andre,FLU_none,FLU_none,FLU_none,FLU_luizhenrique,FLU_fred,FLU_caiopaulista,FLU_none,FLU_none,2,0,H
37,CEARA,AMERICA-MG,CEA_joaoricardo,CEA_igor,CEA_messias,CEA_luizotavio,CEA_brunopacheco,CEA_none,CEA_fabinho,CEA_fernandosobral,CEA_lima,CEA_vina,CEA_none,CEA_none,CEA_mendoza,CEA_jael,CEA_none,CEA_none,CEA_none,AME_matheuscavichioli,AME_patric,AME_eduardobauermann,AME_andersonjesus,AME_marlon,AME_none,AME_lucaskal,AME_juninhovaloura,AME_juninho,AME_none,AME_none,AME_none,AME_ademir,AME_zarate,AME_felipeazevedo,AME_none,AME_none,0,0,D
37,SAOPAULO,JUVENTUDE,SAO_tiagovolpi,SAO_igorvinicius,SAO_miranda,SAO_arboleda,SAO_reinaldo,SAO_none,SAO_liziero,SAO_rodrigonestor,SAO_igorgomes,SAO_rigoni,SAO_none,SAO_none,SAO_luciano,SAO_calleri,SAO_none,SAO_none,SAO_none,JUV_douglasfriedrich,JUV_michel,JUV_vitormendes,JUV_rafaelforster,JUV_williammatheus,JUV_none,JUV_jadson,JUV_dawhan,JUV_guilhermecastilho,JUV_chico,JUV_none,JUV_none,JUV_sorriso,JUV_ricardobueno,JUV_none,JUV_none,JUV_none,3,1,H
37,ATHLETICO-PR,PALMEIRAS,CAP_santos,CAP_pedrohenrique,CAP_thiagoheleno,CAP_nicolas,CAP_none,CAP_none,CAP_marcinho,CAP_erick,CAP_fernandocanesin,CAP_abnervinicius,CAP_none,CAP_none,CAP_bissoli,CAP_pedrorocha,CAP_nikao,CAP_none,CAP_none,PAL_viniciussilvestre,PAL_gustavogarcia,PAL_michel,PAL_lucasfreitas,PAL_vanderlan,PAL_none,PAL_fabinho,PAL_naves,PAL_matheusfernandes,PAL_none,PAL_none,PAL_none,PAL_gabrielsilva,PAL_vitorhugo,PAL_giovani,PAL_none,PAL_none,0,0,D
37,FLAMENGO,SANTOS,FLA_hugosouza,FLA_matheuzinho,FLA_gustavohenrique,FLA_davidluiz,FLA_rodinei,FLA_none,FLA_gomes,FLA_andreaspereira,FLA_evertonribeiro,FLA_vitinho,FLA_none,FLA_none,FLA_gabriel,FLA_pedro,FLA_none,FLA_none,FLA_none,SAN_joaopaulo,SAN_kaiky,SAN_luizfelipe,SAN_daniloboza,SAN_none,SAN_none,SAN_madson,SAN_camacho,SAN_viniciuszanocelo,SAN_lucasbraga,SAN_none,SAN_none,SAN_marinho,SAN_marcosleonardo,SAN_marcosguilherme,SAN_none,SAN_none,0,1,A
37,INTERNACIONAL,ATLETICO-GO,INT_marcelolomba,INT_saravia,INT_brunomendez,INT_victorcuesta,INT_moises,INT_none,INT_rodrigodourado,INT_rodrigolindoso,INT_edenilson,INT_patrick,INT_taison,INT_none,INT_yurialberto,INT_none,INT_none,INT_none,INT_none,ACG_fernandomiguel,ACG_dudu,ACG_oliveira,ACG_eder,ACG_arthurhenrique,ACG_none,ACG_willianmaranhao,ACG_marlonfreitas,ACG_baralhas,ACG_rickson,ACG_janderson,ACG_none,ACG_montenegro,ACG_none,ACG_none,ACG_none,ACG_none,1,2,A
37,CUIABA,FORTALEZA,CUI_walter,CUI_lucasramon,CUI_paulao,CUI_alanempereur,CUI_uendel,CUI_none,CUI_camilo,CUI_pepe,CUI_max,CUI_felipemarques,CUI_none,CUI_none,CUI_jonathancafu,CUI_elton,CUI_none,CUI_none,CUI_none,FOR_marceloboeck,FOR_jackson,FOR_marcelobenevenuto,FOR_titi,FOR_none,FOR_none,FOR_yagopikachu,FOR_ronald,FOR_matheusjussa,FOR_brunomelo,FOR_lucaslima,FOR_none,FOR_depietri,FOR_wellingtonpaulista,FOR_none,FOR_none,FOR_none,1,0,H
37,CHAPECOENSE,SPORT,CHA_joaopaulo,CHA_ronei,CHA_joilson,CHA_ignacio,CHA_mancha,CHA_none,CHA_moisesribeiro,CHA_renejunior,CHA_marquinho,CHA_mike,CHA_none,CHA_none,CHA_geuvânio,CHA_perotti,CHA_none,CHA_none,CHA_none,SPT_mailson,SPT_ewerthon,SPT_rafaelthyere,SPT_sabino,SPT_chico,SPT_none,SPT_josewelison,SPT_marcaosilva,SPT_gustavooliveira,SPT_evertonfelipe,SPT_none,SPT_none,SPT_trellez,SPT_mikael,SPT_none,SPT_none,SPT_none,0,1,A
38,FLUMINENSE,CHAPECOENSE,FLU_marcosfelipe,FLU_samuelxavier,FLU_davidbraz,FLU_luccasclaro,FLU_marlon,FLU_none,FLU_andre,FLU_martinelli,FLU_cazares,FLU_none,FLU_none,FLU_none,FLU_luizhenrique,FLU_bobadilla,FLU_arias,FLU_none,FLU_none,CHA_joaopaulo,CHA_ryan,CHA_jordan,CHA_laercio,CHA_ignacio,CHA_busanello,CHA_ronei,CHA_mancha,CHA_marquinho,CHA_none,CHA_none,CHA_none,CHA_rodrigosilva,CHA_perotti,CHA_none,CHA_none,CHA_none,3,0,H
38,PALMEIRAS,CEARA,PAL_viniciussilvestre,PAL_gustavogarcia,PAL_michel,PAL_lucasfreitas,PAL_vanderlan,PAL_none,PAL_naves,PAL_fabinho,PAL_matheusfernandes,PAL_none,PAL_none,PAL_none,PAL_kevin,PAL_giovani,PAL_vitorhugo,PAL_none,PAL_none,CEA_joaoricardo,CEA_igor,CEA_messias,CEA_klaus,CEA_kelvyn,CEA_none,CEA_fabinho,CEA_fernandosobral,CEA_lima,CEA_vina,CEA_none,CEA_none,CEA_mendoza,CEA_yonygonzalez,CEA_none,CEA_none,CEA_none,1,0,H
38,SANTOS,CUIABA,SAN_joaopaulo,SAN_robson,SAN_luizfelipe,SAN_camacho,SAN_none,SAN_none,SAN_marcosguilherme,SAN_sandry,SAN_viniciuszanocelo,SAN_lucasbraga,SAN_none,SAN_none,SAN_marinho,SAN_leobaptistao,SAN_ângelo,SAN_none,SAN_none,CUI_walter,CUI_joaolucas,CUI_marllon,CUI_paulao,CUI_uendel,CUI_none,CUI_camilo,CUI_pepe,CUI_max,CUI_felipemarques,CUI_none,CUI_none,CUI_jonathancafu,CUI_elton,CUI_none,CUI_none,CUI_none,1,1,D
38,AMERICA-MG,SAOPAULO,AME_matheuscavichioli,AME_patric,AME_eduardobauermann,AME_ricardosilva,AME_joaopaulo,AME_none,AME_ale,AME_zericardo,AME_juninho,AME_none,AME_none,AME_none,AME_ademir,AME_zarate,AME_felipeazevedo,AME_none,AME_none,SAO_tiagovolpi,SAO_diego,SAO_brunoalves,SAO_leo,SAO_none,SAO_none,SAO_igorvinicius,SAO_gabriel,SAO_igorgomes,SAO_reinaldo,SAO_none,SAO_none,SAO_rigoni,SAO_calleri,SAO_juan,SAO_none,SAO_none,2,0,H
38,GREMIO,ATLETICO-MG,GRE_gabrielchapeco,GRE_rafinha,GRE_rodrigues,GRE_ruan,GRE_diogobarbosa,GRE_none,GRE_thiagosantos,GRE_lucassilva,GRE_campaz,GRE_none,GRE_none,GRE_none,GRE_douglascosta,GRE_ferreira,GRE_diegosouza,GRE_none,GRE_none,CAM_rafael,CAM_guga,CAM_nathansilva,CAM_micael,CAM_dodô,CAM_none,CAM_tchetche,CAM_calebe,CAM_borrero,CAM_none,CAM_none,CAM_none,CAM_eduardosasha,CAM_vargas,CAM_savarino,CAM_none,CAM_none,4,3,H
38,FORTALEZA,BAHIA,FOR_marceloboeck,FOR_tinga,FOR_marcelobenevenuto,FOR_titi,FOR_none,FOR_none,FOR_yagopikachu,FOR_felipe,FOR_matheusvargas,FOR_matheusjussa,FOR_osvaldo,FOR_none,FOR_wellingtonpaulista,FOR_david,FOR_none,FOR_none,FOR_none,BAH_danilofernandes,BAH_ninoparaiba,BAH_conti,BAH_luizotavio,BAH_matheusbahia,BAH_none,BAH_edson,BAH_patrickdelucca,BAH_rainascimento,BAH_rodriguinho,BAH_juninhocapixaba,BAH_none,BAH_gilberto,BAH_none,BAH_none,BAH_none,BAH_none,2,1,H
38,SPORT,ATHLETICO-PR,SPT_carloseduardo,SPT_ewerthon,SPT_rafaelthyere,SPT_chico,SPT_sander,SPT_none,SPT_pedrovictor,SPT_ronaldohenrique,SPT_gustavooliveira,SPT_paulinhomoccelin,SPT_evertonfelipe,SPT_none,SPT_mikael,SPT_none,SPT_none,SPT_none,SPT_none,CAP_bento,CAP_joaovialle,CAP_lucasfasson,CAP_luanpatrick,CAP_none,CAP_none,CAP_khellven,CAP_juninho,CAP_jader,CAP_marcioazevedo,CAP_jaderson,CAP_pedrinho,CAP_viniciusmingotti,CAP_none,CAP_none,CAP_none,CAP_none,1,1,D
38,BRAGANTINO,INTERNACIONAL,BGT_cleiton,BGT_aderlan,BGT_fabriciobruno,BGT_leoortiz,BGT_luancândido,BGT_none,BGT_jadsomsilva,BGT_praxedes,BGT_ericramires,BGT_none,BGT_none,BGT_none,BGT_artur,BGT_ytalo,BGT_cuello,BGT_none,BGT_none,INT_marcelolomba,INT_saravia,INT_mercado,INT_brunomendez,INT_victorcuesta,INT_moises,INT_rodrigodourado,INT_edenilson,INT_patrick,INT_none,INT_none,INT_none,INT_palacios,INT_yurialberto,INT_none,INT_none,INT_none,1,0,H
38,JUVENTUDE,CORINTHIANS,JUV_douglasfriedrich,JUV_paulohenrique,JUV_vitormendes,JUV_quintero,JUV_rafaelforster,JUV_none,JUV_jadson,JUV_dawhan,JUV_chico,JUV_guilhermecastilho,JUV_none,JUV_none,JUV_capixaba,JUV_sorriso,JUV_none,JUV_none,JUV_none,COR_cassio,COR_fagner,COR_joaovictor,COR_gil,COR_lucaspiton,COR_none,COR_gabriel,COR_duqueiroz,COR_giuliano,COR_none,COR_none,COR_none,COR_gustavomosquito,COR_jô,COR_gabrielpereira,COR_none,COR_none,1,0,H
38,ATLETICO-GO,FLAMENGO,ACG_fernandomiguel,ACG_arnaldo,ACG_eder,ACG_oliveira,ACG_arthurhenrique,ACG_none,ACG_willianmaranhao,ACG_baralhas,ACG_marlonfreitas,ACG_rickson,ACG_none,ACG_none,ACG_janderson,ACG_montenegro,ACG_none,ACG_none,ACG_none,FLA_hugosouza,FLA_wesley,FLA_gabrielnoga,FLA_brunoviana,FLA_leopereira,FLA_rene,FLA_pirisdamotta,FLA_gomes,FLA_lazaro,FLA_none,FLA_none,FLA_none,FLA_andreluiz,FLA_vitorgabriel,FLA_none,FLA_none,FLA_none,2,0,H
